PMID,year,phase,journal,title,retrieval_scopes,sentence_count,themes,methods
38246245,2025,2021-2025,Journal of advanced research,Alanine metabolism mediates energy allocation of the brown planthopper to adapt to resistant rice.,BPH resistance,32,抗源鉴定与表型评价; 遗传定位、QTL与关联分析; 主效抗性基因与受体识别; 代谢、挥发物与结构防御; 组学与系统网络; 基因编辑与功能验证; 宿主-昆虫互作与效应子; 昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,连锁/QTL/标记育种; 表达组学/多组学; 转基因/RNAi/突变体; 田间/产量/育种评价
39674487,2025,2021-2025,International journal of biological macromolecules,OsIAA7 enhances heat stress tolerance by inhibiting the activity of OsARF6 in rice.,BPH damage,1,,
39694421,2025,2021-2025,Insect biochemistry and molecular biology,Expansion of three types of transposon superfamilies within 25 Mya lead to large genome size of a rice insect pest.,BPH resistance,1,生长-防御权衡与育种转化,田间/产量/育种评价
39747314,2025,2021-2025,Scientific reports,Effect of isolated compounds from Combretum trifoliatum on toxicity and detoxification enzymes in Nilaparvata lugens.,BPH resistance,1,昆虫侧适应、毒力与药剂抗性; 生长-防御权衡与育种转化,田间/产量/育种评价
39752360,2025,2021-2025,PLoS pathogens,Small interfering RNAs generated from the terminal panhandle structure of negative-strand RNA virus promote viral infection.,Broad planthopper,1,,
39754993,2025,2021-2025,"Comparative biochemistry and physiology. Part D, Genomics & proteomics","Genome-wide identification and expression patterns of uridine diphosphate (UDP)-glycosyltransferase genes in the brown planthopper, Nilaparvata lugens.",BPH damage,1,,
39779696,2025,2021-2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,BPH resistance,16,抗源鉴定与表型评价; 激素、转录与免疫信号; 代谢、挥发物与结构防御; 组学与系统网络; 宿主-昆虫互作与效应子; 生长-防御权衡与育种转化,表达组学/多组学; 田间/产量/育种评价
39817336,2025,2021-2025,Pest management science,The cross-resistance to etofenprox in Nilaparvata lugens with a high adaptability to resistant rice variety IR56.,BPH resistance,4,抗源鉴定与表型评价; 代谢、挥发物与结构防御; 昆虫侧适应、毒力与药剂抗性,
39821341,2025,2021-2025,Pest management science,The continuing significance of chiral agrochemicals.,BPH resistance,1,抗源鉴定与表型评价,
39846346,2025,2021-2025,Journal of agricultural and food chemistry,Ethylene-Mediated Production and Emission of Limonene Influence Brown Planthopper Preference for Rice Plants.,BPH resistance,1,激素、转录与免疫信号; 代谢、挥发物与结构防御,
