gene_or_locus,evidence_role,effect_size_status,sentence_count,unique_pmids,earliest_year,latest_year,species_context,direct_perturbation_or_mapping,breeding_context,mechanism_themes,representative_pmids
Bph3,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,207,79,2000,2025,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,11767535;21779386;22083132;23228240;23718009;24280452;26019637;26056319;26979747;27246014;27300326;27812236
Bph14,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,221,77,2009,2025,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,20018701;21254325;23175467;23396040;24273431;24886295;25076167;25109872;26403182;26979747;27025496;27300326
Bph1,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,150,72,2000,2024,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,11767535;15032948;17585380;18553105;18612237;21779386;22048639;23434671;23718009;24244529;24533099;24870048
Bph15,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,226,58,2004,2024,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,15549231;19405033;21254325;23175467;23434671;23589438;24033867;24273431;25109872;27300326;27682162;27704482
Bph2,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,93,53,2000,2025,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,11767535;15032948;16939006;21779386;22048639;23718009;25076167;26056319;26313963;27300326;27876888;27901104
Bph18,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,94,47,2006,2024,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,16240104;22048639;23175467;25076167;25109872;26019637;26690414;26719745;26743769;27300326;27682162;27834403
Bph6,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,147,40,2010,2024,BPH;SBPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,20680611;22038433;27300326;27682162;27901104;28638401;29282566;29358653;30551584;30734457;30740564;31086482
Bph9,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,103,40,2006,2025,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,16553215;22048639;25076167;27791169;27901104;28638401;29282566;29893903;30291462;30551584;30734457;30888525
Bph26,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,85,40,2011,2024,BPH;WBPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境,22048639;25076167;26719745;26979747;27300326;27682162;27901104;28278368;29282566;29893903;30363818;30393420
Bph32,核心抗性基因/位点,原句含效应量/主微效描述，需回到原文核验,85,29,2016,2024,BPH,yes,yes,遗传定位、克隆与抗源部署;韧皮部取食界面与结构防御;激素、氧化还原与信号调控;次生代谢与挥发性防御;宿主免疫、肽信号与昆虫效应子;生长防御权衡与农艺环境;病毒-媒介-水稻三方互作,27876888;30393420;30551584;30560465;30734457;30739972;30888525;30976994;31726710;31885402;32704393;32937908
