candidate,scope,mechanism_group,direction,role,classification_boundary,primary_pmids,primary_pmid_count,all_matching_pmids,first_year,latest_year,breeding_readiness,tradeoff_risk,tradeoff,priority,mechanism
OsWRKY36,BPH/WBPH/SBPH,Growth-defense editing,负调控,敲除后增强多种稻飞虱抗性；不是经典Bph主效位点。,功能修饰位点；效应量未量化,40042898,1,1,2025,2025,2,1,RiceMind句证支持成熟期评价和多虫种抗性；仍需多背景、田间和产量稳定性验证。,高,转录调控与防御输出重排，并具有跨虫种抗性表型。
JAZ10/FJ10,BPH,Growth-defense editing,特定移码等位变异增抗,JAZ10移码产生FJ10，兼顾生长与褐飞虱抗性。,功能修饰等位变异；不等同于已部署主效抗性基因,39693337,1,1,2024,2024,2,1,目前RiceMind仅提供单项研究的关键结论，缺少多环境和多遗传背景验证。,高,改变JA抑制子功能，提示可通过等位基因设计缓解生长-防御矛盾。
OsClpP6,BPH,Growth-defense editing,负调控,沉默增强实验室与田间抗性，田间产量影响较小。,功能修饰位点；效应量未量化,38612510,1,2,2024,2024,3,1,已有田间与产量信息，但仍需稳定遗传编辑材料和跨生态区验证。,高,通过JA、JA-Ile、ABA和挥发物调控防御，同时参与叶绿体蛋白稳态。
OsTPS19/OsTPS20,BPH,Volatile and indirect defense,正调控,过表达提高柠檬烯释放并降低田间BPH发生，报告中未见显著产量性状损失。,功能修饰位点；效应量未量化,39340817,1,1,2024,2024,3,2,高柠檬烯可能促进二化螟等非目标害虫，存在虫谱转换风险。,高,柠檬烯影响取食偏好和卵孵化，并连接抗虫与抗病。
OsGF14e-OsEDR1l,BPH,Growth-defense editing,负调控,敲除增强抗性，但过表达增感；属于昆虫效应子利用的宿主免疫抑制模块。,功能修饰位点；效应量未量化,39853648,1,1,2025,2025,2,3,敲除导致生长和籽粒产量下降，不适合直接作为无条件编辑靶点。,中,BPH效应子Nl14模拟宿主调控因子，抑制JA、JA-Ile和H2O2防御。
OsPGI1c,BPH,Growth-defense editing,正调控,过表达同时增强植株生长和BPH抗性。,功能修饰位点；效应量未量化,39796027,1,1,2024,2024,2,1,缺少田间、多生物型和产量品质验证。,高,胞质磷酸葡萄糖异构酶连接糖代谢、海藻糖水平和抗虫反应。
OsMYB1-OsSPL14,BPH,Transcriptional and metabolic defense,依赖拮抗关系,MYB与SPL转录调控模块影响BPH及细菌病害抗性。,功能修饰位点；效应量未量化,39724382,1,1,2024,2024,2,1,需要明确自然等位变异、背景依赖和产量构成影响。,中,通过转录因子拮抗协调不同生物胁迫下的防御输出。
MYC2-JAMYB,BPH,Hormone signaling,正调控,MYC2-JAMYB转录级联参与JA介导的BPH抗性。,功能修饰位点；效应量未量化,40169387,1,4,2022,2025,2,1,最新单项研究为主，尚缺育种材料和田间验证。,中,将JA感知与下游转录防御连接。
OsmiR319-OsPCF5,BPH,Small RNA regulation,OsmiR319负调控,OsmiR319过表达增感，降低其活性可增强抗性。,功能修饰位点；效应量未量化,38520013,1,1,2024,2024,2,1,需要验证靶向编辑是否影响发育及其他胁迫响应。,中,OsPCF5与MYB蛋白网络连接小RNA调控和苯丙烷防御。
OsNCED3,BPH,Hormone signaling,正调控,过表达增强抗性，RNAi材料抗性降低。,功能修饰位点；效应量未量化,36064309;38988632,2,3,2022,2024,2,2,过表达材料株高、根系和生物量下降，存在明显生长代价。,中,ABA合成促进黄酮、草酸等防御化合物积累并改变取食。
OsRCI-1,BPH,Volatile and indirect defense,正调控,过表达降低取食和产卵偏好，并提高卵寄生蜂寄生率。,功能修饰位点；效应量未量化,38891303,1,1,2024,2024,2,1,田间稳定性和对非目标昆虫群落的影响仍需验证。,中,促进绿叶挥发物形成，兼具直接拒食与间接防御。
OsRLK7-1,BPH/WBPH/SBPH,Growth-defense editing,负调控,敲除增强稻飞虱抗性，但损害生长发育。,功能修饰位点；效应量未量化,37834016,1,1,2023,2023,2,3,生长发育代价明确，直接育种利用风险较高。,低,受体激酶调节生长与防御平衡。
SDG703,BPH/WBPH/SBPH,Epigenetic regulation,负调控,抑制防御相关基因表达并影响多种稻飞虱抗性。,功能修饰位点；效应量未量化,37629184,1,1,2023,2023,2,2,表观遗传靶点可能具有广泛多效性，需精细等位基因或组织特异调控。,中,组蛋白甲基化相关表观调控。
OsEBF2,BPH,Hormone signaling,正调控,F-box蛋白促进BPH抗性。,功能修饰位点；效应量未量化,36462682,1,3,2023,2025,2,1,缺少田间和多背景资料。,中,通过乙烯与JA信号协同调节防御。
OsJMJ715,BPH,Epigenetic regulation,负调控,沉默后通过ABA和JA信号增强抗性。,功能修饰位点；效应量未量化,34884830,1,2,2021,2024,2,2,潜在多效性和长期稳定性尚不清楚。,中,组蛋白去甲基化相关调控连接染色质状态与激素防御。
OsI-BAK1,BPH,Growth-defense editing,负调控,沉默该胞外LRR基因增强BPH抗性。,功能修饰位点；效应量未量化,34830062,1,1,2021,2021,2,2,缺少自然变异、田间和发育代价验证。,中,可能通过受体复合体或细胞表面信号影响防御阈值。
OM64,BPH及咀嚼式害虫,Growth-defense editing,负调控,线粒体外膜蛋白缺失增强对刺吸式和咀嚼式昆虫的抗性。,功能修饰位点；效应量未量化,32542992,1,1,2020,2020,2,2,广谱效应有价值，但线粒体相关多效性需系统评价。,中,线粒体功能与广谱抗虫防御耦合。
MYB22-TOPLESS-HDAC1,BPH,Transcriptional and metabolic defense,正调控,转录抑制复合体通过抑制F3'H促进BPH抗性。,功能修饰位点；效应量未量化,37149887,1,2,2023,2023,2,1,需明确对品质、色素和其他代谢性状的影响。,中,重排黄酮代谢分支，说明代谢物组成而非总量决定防御效果。
OsSPL10,BPH,Transcriptional and metabolic defense,调控方向依赖研究材料,组学与功能分析支持其参与BPH防御。,功能修饰位点；效应量未量化,37819387,1,2,2023,2023,1,1,RiceMind句证中的直接遗传效应信息有限。,低,连接转录调控、代谢变化和抗性表型。
OsWRKY71,BPH,Major-locus-dependent modifier,正向依赖,敲除削弱Bph15介导的抗性，属于主效位点下游修饰节点。,主效位点依赖型修饰节点；不是独立抗性位点,38023936,1,3,2022,2024,2,1,不能作为独立微效抗性来源评价，必须在Bph15背景中验证。,中,连接Bph15识别与转录防御。
