PMID,sent_id,year,journal,title,doi,text,gene,trait,ontology_id,ontology_type,confidence,evidence_code,source_db
40257666,44973165,2025,Advanced biotechnology,Nepenthes chitinase NkChit2b- 1 confers broad-spectrum resistance to chitin-containing pathogens and insects in plants.,,"BPH, a phloem-feeding insect pest, directly damages rice plants by extracting sap, resulting in leaf yellowing, stunted growth, and reduced grain filling (Liu et al.).",,,,,,,
39779696,43699451,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,These results demonstrate that there may be a difference in the rice defense responses induced by BPH feeding and oviposition and that these two types of defenses may functionally interact.,,,,,,,
40303855,45080610,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,"In contrast, hemimetabolous insects such as BPH maintain consistent CAZyme profiles throughout life stages, enabling them to feed on similar hosts like rice plants.",,,,,,,
39853648,43871894,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Thus, we conducted a study to track the relationship between the rice immune regulator 14-3-3e (OsGF14e) and the BPH salivary and egg-associated effector 14-3-3e (Nl14), and illustrated how BPH Nl14 exploits its host immune suppression system by mimicking OsGF14e.",,,,,,,
39779696,43699565,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"In conclusion, our research shows that BPH infestation -- more likely via oviposition by BPH GFs rather than feeding by nymphs or adults -- strongly induces rice defenses.",,,,,,,
40042898,44470104,2025,Proceedings of the National Academy of Sciences of the United States of America,A WRKY transcription factor confers broad-spectrum resistance to biotic stresses and yield stability in rice.,,BPH resistance of rice seedling was scored according to the standard evaluation systems of IRRI.,,,,,,,
39853648,43871861,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Apparently, structural and functional mimicry makes it possible for this newly discovered BPH effector to exploit rice OsGF14e-EDR1l immune suppression module.",,,,,,,
40303855,45080482,2025,Frontiers in plant science,Role of carbohydrate-active enzymes in brown planthopper virulence and adaptability.,,Thirty fifth-instar TN1-BPH nymphs were separately infested on both susceptible and resistant rice varieties.,,,,,,,
39853648,43871923,2025,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",An Insect Effector Mimics Its Host Immune Regulator to Undermine Plant Immunity.,,"Thus, when coping with BPH infestation, the presence of OsGF14e likely prevents substantial unnecessary fitness costs in rice.",,,,,,,
40004225,44376300,2025,International journal of molecular sciences,Transcriptome Analysis and Resistance Identification of bar and BPH9 Co-Transformation Rice.,,Transcriptome Analysis and Resistance Identification of bar and BPH9 Co-Transformation Rice.,,,,,,,
39779696,43699472,2025,Nature communications,Nymphal feeding suppresses oviposition-induced indirect plant defense in rice.,,"Some studies showed that BPH infestation of rice plants barely induced the jasmonate signaling pathway, but others showed that infested plants accumulated significantly more JA and JA-Ile.",,,,,,,
39817336,43765864,2025,Pest management science,The cross-resistance to etofenprox in Nilaparvata lugens with a high adaptability to resistant rice variety IR56.,,"BACKGROUND: The application of resistant rice varieties and insecticides represents two crucial strategies for managing the brown planthopper (BPH), Nilaparvata lugens (Stal).",,,,,,,
